景點名稱,經度,第一張圖檔網址,緯度,區域
新北投溫泉區,121.508447,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000848.jpg,25.137077,北投區
大稻埕碼頭,121.508274,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000340.jpg,25.056847,大同區
士林官邸,121.530849,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D7/E150/F719/71eb4b56-f771-43bc-856c-2fb265a5cc6e.jpg,25.091713,士林區
國立故宮博物院,121.5496,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D14/E810/F21/48d66fbd-1ba3-4efd-837a-3767db5f52e0.jpg,25.1013,士林區
北投圖書館,121.506343,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D878/E726/F304/2d6e8b50-76ce-4b7e-a795-0357cd6f2b3e.jpg,25.136571,北投區
陽明山溫泉區,121.547742,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000985.jpg,25.15579,北投區
關渡、金色水岸、八里左岸自行車道,121.465255,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000979.jpg,25.124904,北投區
大安森林公園,121.5362,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D11/E257/F345/546f42a1-cbfb-49fc-b4d8-c33f1c44190c.jpg,25.0296,大安區
地熱谷,121.511592,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003993.jpg,25.137940,北投區
南港山系-象山親山步道,121.571970,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11001481.jpg,25.023757,信義區
艋舺龍山寺,121.499962,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D226/E920/F665/1f26af86-e907-44c9-b4d7-5c498dacfc6c.jpg,25.036798,萬華區
行天宮,121.533838,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D509/E14/F983/d5f49ce0-139c-4e8b-81cf-39e2b32e79bf.jpg,25.063059,中山區
梅庭,121.508682,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D931/E93/F956/374f6b31-840b-407f-82b7-e6f70d4d0c49.JPG,25.137025,北投區
中正紀念堂,121.52194,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000375.jpg,25.03471,中正區
台北探索館,121.56376,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D6/E578/F270/f6f669d9-997f-48c0-845a-be267b3d6ad5.jpg,25.03758,信義區
二格山系-指南宮貓空親山步道,121.581059,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002820.jpg,24.984413,文山區
北投溫泉博物館,121.507153,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000382.jpg,25.136691,北投區
琉園水晶博物館(暫時休館),121.468942,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000813.jpg,25.127255,北投區
華山1914文化創意產業園區,121.52887,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000956.jpg,25.04381,中正區
長榮海事博物館,121.518770,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002524.jpg,25.038728,中正區
台北101,121.564837,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000361.jpg,25.033194,信義區
袖珍博物館,121.536287,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000762.jpg,25.050375,中山區
新店溪、大漢溪與淡水河自行車道,121.504196,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000980.jpg,25.020141,萬華區
北投公園,121.507289,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D0/E196/F761/d15e55ea-c2a2-41cf-a931-42adab2bb739.jpg,25.136663,北投區
台北霞海城隍廟,121.510085,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000930.jpg,25.055565,大同區
國父紀念館,121.560314,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000358.jpg,25.040055,信義區
陽明山國家公園,121.547742,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003994.JPG,25.15579,士林區
臺北市立動物園,121.58211,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003997.JPG,24.99883,文山區
碧湖公園,121.581244,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002936.jpg,25.082220,內湖區
基隆河左、右岸親水,121.530239,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000840.jpg,25.071668,士林區
大湖公園,121.60231,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D727/E874/F732/1f40db60-ded0-416a-976e-baeea0464d8e.jpg,25.08282,內湖區
臺北忠烈祠,121.5330,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000791.jpg,25.0788,中山區
關渡碼頭-甘豆門,121.461523,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000838.jpg,25.122507,北投區
社子島環島與二重疏洪道自行車道,121.503137,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000846.jpg,25.08952,士林區
七星山系-天母古道親山步道,121.534101,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000377.jpg,25.126878,士林區
台北當代藝術館,121.51892,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000735.jpg,25.05072,大同區
光點臺北,121.522450,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000394.jpg,25.053225,中山區
臺北市立美術館,121.524340,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D532/E822/F530/e168789d-2c35-4c18-af07-04185601e3da.jpg,25.072852,中山區
行天宮北投分宮-忠義廟,121.47744,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002395.jpg,25.13748,北投區
景美溪左、右岸自行車道,121.587451,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000844.jpg,25.0029,文山區
國立歷史博物館,121.51121,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000725.jpg,25.03161,中正區
冷水坑溫泉區,121.56286,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000851.jpg,25.16791,士林區
西門紅樓,121.506885,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D237/E878/F721/4079be28-42bc-4153-aebd-6a1cbea84d5e.jpg,25.042057,萬華區
松山慈祐宮,121.57774,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000935.jpg,25.05103,松山區
關渡宮,121.464010,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000948.jpg,25.117655,北投區
北投文物館,121.51479,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D330/E107/F267/f51c663d-f50a-4691-9c6b-e578afea70d3.jpg,25.13819,北投區
內溝溪景觀生態步道,121.62398,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11003130.jpg,25.08037,內湖區
二二八和平公園,121.515468,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000788.jpg,25.040363,中正區
國立臺灣科學教育館,121.5159,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000729.jpg,25.0959,士林區
指南宮,121.587087,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000932.jpg,24.978651,文山區
臺北啤酒工廠(原建國啤酒廠),121.535389,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11000870.jpg,25.046111,中山區
松山文創園區,121.560437,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D26/E563/F587/cdeaa2fb-0f0e-4f4a-a078-170d23520800.jpg,25.043303,信義區
大龍峒保安宮,121.515416,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D775/E454/F120/05e7fcff-c925-4828-8e89-c0bfdd3bfe9c.JPG,25.073138,大同區
雙溪生活水岸,121.523704,https://www.travel.taipei/d_upload_ttn/sceneadmin/pic/11002566.jpg,25.098516,士林區
陽明山中山樓,121.552772,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D370/E882/F626/420c6cf8-45c6-4c31-8e0a-42d44a1a5eac.jpg,25.155623,北投區
臺北市鄉土教育中心(剝皮寮歷史街區),121.50326,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C1/D75/E624/F107/4192a9df-e1cd-49a5-900f-c392ae6a16f6.jpg,25.03666,萬華區
自來水博物館,121.530106,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D346/E920/F1/050967e9-15b8-4ff5-89ca-ad4a4d6186a7.jpg,25.012652,中正區
華中河濱公園,121.494840,https://www.travel.taipei/d_upload_ttn/sceneadmin/image/A0/B0/C0/D0/E197/F323/522aa425-345c-4ac4-96b8-b21a33f165ca.JPG,25.015403,萬華區
